title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_lbs,reps,distance_miles,duration_seconds,rpe
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Incline Bench Press (Dumbbell),,,0,warmup,40.0,12.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Incline Bench Press (Dumbbell),,,1,warmup,110.0,10.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Incline Bench Press (Dumbbell),,,2,normal,120.0,8.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Incline Bench Press (Dumbbell),,,3,normal,130.0,8.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Incline Bench Press (Dumbbell),,,4,normal,140.0,5.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Seated Cable Row - V Grip (Cable),,,0,warmup,70.0,12.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Seated Cable Row - V Grip (Cable),,,1,normal,85.0,10.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Seated Cable Row - V Grip (Cable),,,2,normal,100.0,10.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Seated Cable Row - V Grip (Cable),,,3,normal,110.0,8.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Iso-Lateral Chest Press (Machine),,,0,normal,120.0,10.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Iso-Lateral Chest Press (Machine),,,1,normal,120.0,8.0,,,
Upper,"Jul 19, 2026, 7:01 PM","Jul 19, 2026, 8:10 PM",,Iso-Lateral Chest Press (Machine),,,2,normal,120.0,8.0,,,
